# Charge file
# nr1= 40 nr2= 40 nr3= 40  1.581461298E-03  4.933374972E-03  4.698909519E-02  1.834242320E-01  4.168271839E-01
  6.672750263E-01  8.229654896E-01  8.213751451E-01  6.863598095E-01  4.970596431E-01
  3.281515202E-01  2.139216445E-01  1.518668458E-01  1.245321912E-01  1.150569510E-01
  1.111744085E-01  1.052424155E-01  9.493216649E-02  8.277869830E-02  7.325567632E-02
  6.970953802E-02  7.325567632E-02  8.277869830E-02  9.493216649E-02  1.052424155E-01
  1.111744085E-01  1.150569510E-01  1.245321912E-01  1.518668458E-01  2.139216445E-01
  3.281515202E-01  4.970596431E-01  6.863598095E-01  8.213751451E-01  8.229654896E-01
  6.672750263E-01  4.168271839E-01  1.834242320E-01  4.698909519E-02  4.933374972E-03
  4.933374972E-03  2.839893943E-02  1.222698664E-01  3.166141726E-01  5.679387034E-01
  7.730081950E-01  8.416682579E-01  7.590367848E-01  5.845717774E-01  4.001783530E-01
  2.597167686E-01  1.753599671E-01  1.341508025E-01  1.180772707E-01  1.127944542E-01
  1.084894346E-01  1.002209216E-01  8.841392937E-02  7.704462989E-02  7.025472557E-02
  7.025472557E-02  7.704462989E-02  8.841392937E-02  1.002209216E-01  1.084894346E-01
  1.127944542E-01  1.180772707E-01  1.341508025E-01  1.753599671E-01  2.597167686E-01
  4.001783530E-01  5.845717774E-01  7.590367848E-01  8.416682579E-01  7.730081950E-01
  5.679387034E-01  3.166141726E-01  1.222698664E-01  2.839893943E-02  4.933374972E-03
  4.698909519E-02  1.222698664E-01  2.826613916E-01  5.103047368E-01  7.260935432E-01
  8.369326883E-01  8.012328342E-01  6.524979994E-01  4.662232849E-01  3.074217188E-01
  2.026840814E-01  1.466772655E-01  1.223531856E-01  1.140163654E-01  1.102510929E-01
  1.040044049E-01  9.340289513E-02  8.119641346E-02  7.178270049E-02  6.830635221E-02
  7.178270049E-02  8.119641346E-02  9.340289513E-02  1.040044049E-01  1.102510929E-01
  1.140163654E-01  1.223531856E-01  1.466772655E-01  2.026840814E-01  3.074217188E-01
  4.662232849E-01  6.524979994E-01  8.012328342E-01  8.369326883E-01  7.260935432E-01
  5.103047368E-01  2.826613916E-01  1.222698664E-01  4.698909519E-02  2.839893943E-02
  1.834242320E-01  3.166141726E-01  5.103047368E-01  7.074828990E-01  8.278798485E-01
  8.203339531E-01  6.967012203E-01  5.180366755E-01  3.504100457E-01  2.303137717E-01
  1.607870926E-01  1.277370311E-01  1.152287403E-01  1.108929243E-01  1.062344128E-01
