7.180157907687483299e-01 5.710073400083096606e-01 7.728307013112507562e-01
7.839539328424626197e-01 5.466463446106460955e-01 8.469639319391205623e-01
8.801932060010846381e-01 6.594622192896756330e-01 7.511541245217792095e-01
8.362906283192346191e-01 5.128404197769456108e-01 6.521855062586607854e-01
7.831657693233151640e-01 6.189390204433713460e-01 7.495821827476314425e-01
7.823725446328519961e-01 6.434620338023030461e-01 6.701013615927903233e-01
7.232677437355079508e-01 7.412724596276522027e-01 5.722336525033004939e-01
6.246806079064476380e-01 6.703377248941821964e-01 6.143622168779729886e-01
6.748756043225939694e-01 5.233819476553395189e-01 7.706566444242938241e-01
7.225738114909391330e-01 5.510130370718177018e-01 7.684217073441904633e-01
9.279793661823049211e-01 4.962965557384728665e-01 7.919683761112754627e-01
7.145198907077107142e-01 7.307199081257753637e-01 5.964052491750008178e-01
6.744785603962005771e-01 6.977614566165203369e-01 7.230396884427647830e-01
7.466115169353070291e-01 5.491121952387408856e-01 6.570612726624613931e-01
6.866955653033557372e-01 5.569103128045251871e-01 6.932922857827114038e-01
8.233955773019262514e-01 5.430193508835551297e-01 7.071973782565381672e-01
6.393964696479347287e-01 5.890064468739580894e-01 6.651566695416389896e-01
9.286369060576298295e-01 5.345164100311935451e-01 6.297271762077192303e-01
5.870709950438093294e-01 4.453628424056707003e-01 8.620399511750640453e-01
